Year,순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
2001,1,현대,4.34,133,72,57,39,23,0.558,1183 1/3,1250,98,531,54,757,628,570,1.51
2001,2,SK,4.38,133,60,71,33,22,0.458,1171 1/3,1148,155,508,65,908,640,570,1.41
2001,3,삼성,4.39,133,81,52,43,20,0.609,1187 1/3,1195,132,561,61,844,644,579,1.48
2001,4,롯데,4.68,133,59,70,33,28,0.457,1171 2/3,1238,128,523,61,790,670,609,1.50
2001,5,한화,4.82,133,61,68,25,33,0.473,1185,1288,142,541,66,813,733,634,1.54
2001,6,두산,4.96,133,65,63,35,40,0.508,1180 1/3,1290,128,546,60,799,733,650,1.56
2001,7,KIA,5.01,133,60,68,28,16,0.469,1178 2/3,1231,160,499,79,743,727,656,1.47
2001,8,LG,5.09,133,58,67,26,27,0.464,1184 2/3,1253,127,647,69,765,732,670,1.60
2002,1,삼성,3.92,133,82,47,37,22,0.636,1197 2/3,1182,148,385,74,987,581,521,1.31
2002,2,KIA,3.92,133,78,51,38,30,0.605,1195,1185,151,370,97,862,580,520,1.30
2002,3,LG,3.93,133,66,61,32,40,0.520,1190 2/3,1119,135,501,100,896,575,520,1.36
2002,4,두산,3.93,133,66,65,38,43,0.504,1183,1139,99,479,60,954,562,517,1.37
2002,5,현대,4.23,133,70,58,38,36,0.547,1186 1/3,1219,142,416,64,890,614,558,1.38
2002,6,SK,4.47,133,61,69,25,15,0.469,1179,1150,176,402,78,948,638,586,1.32
2002,7,롯데,4.72,133,35,97,13,19,0.265,1168,1269,130,443,83,775,710,612,1.47
2002,8,한화,4.79,133,59,69,32,32,0.461,1184 2/3,1254,146,392,102,953,672,631,1.39
2003,1,KIA,3.62,133,78,50,36,34,0.609,1178,1092,137,414,101,820,527,474,1.28
2003,2,LG,3.98,133,60,71,37,51,0.458,1169 2/3,1201,120,531,60,794,579,517,1.48
2003,3,현대,4.13,133,80,51,39,43,0.611,1190,1245,120,457,62,840,627,546,1.43
2003,4,두산,4.24,133,57,74,30,53,0.435,1175 2/3,1194,105,464,79,654,619,554,1.41
2003,5,삼성,4.37,133,76,53,30,41,0.589,1183,1199,133,494,59,808,613,574,1.43
2003,6,한화,4.37,133,63,65,35,31,0.492,1192,1184,142,437,68,772,617,579,1.36
2003,7,SK,4.44,133,66,64,43,48,0.508,1181 1/3,1190,135,497,83,759,642,583,1.43
2003,8,롯데,5.01,133,39,91,22,58,0.300,1164 1/3,1302,171,435,93,647,709,648,1.49
2004,1,삼성,3.76,133,73,52,42,74,0.584,1196 1/3,1092,118,505,85,994,564,500,1.33
2004,2,두산,3.88,133,70,62,38,47,0.530,1177 2/3,1144,95,457,75,799,560,508,1.36
2004,3,현대,4.06,133,75,53,36,32,0.586,1187,1193,123,440,59,842,590,535,1.38
2004,4,롯데,4.22,133,50,72,29,46,0.410,1190 1/3,1216,109,449,76,753,608,558,1.40
